season,player_id,name,team,conf,yr,role,dominant_archetype_code,dominant_archetype,top_1_code,top_1_archetype,top_1_pct,top_2_code,top_2_archetype,top_2_pct,top_3_code,top_3_archetype,top_3_pct,A0,A1,A2,A3,A4,A5,A6,A7
2026,68379,Dani Bayes,Boise St.,MWC,Sr,Combo G,A3,Three-Point Specialist,A3,Three-Point Specialist,0.26298560,A5,Two-Way Star Guard,0.22690373,A2,Two-Way Star Big,0.17802039,0.0,0.0,0.17802039,0.2629856,0.14350328,0.22690373,0.01077485,0.17781215
2026,69762,Emily Howard,Boise St.,MWC,Jr,PF/C,A1,Midrange-Heavy Role Player,A1,Midrange-Heavy Role Player,0.49374639,A2,Two-Way Star Big,0.34954547,A0,Traditional Big,0.15670814,0.15670814,0.49374639,0.34954547,0.0,0.0,0.0,0.0,0.0
2026,81654,Izzie Harms,Boise St.,MWC,Fr,Wing G,A3,Three-Point Specialist,A3,Three-Point Specialist,0.30066217,A6,Low-Production Player,0.27734722,A7,Efficient Off-Ball Finisher,0.17252898,0.0,0.11633687,0.13312475,0.30066217,0.0,0.0,0.27734722,0.17252898
2026,81652,Jayda Lewis,Boise St.,MWC,Fr,Wing G,A0,Traditional Big,A0,Traditional Big,0.46712589,A6,Low-Production Player,0.20903387,A5,Two-Way Star Guard,0.20811421,0.46712589,0.11572603,0.0,0.0,0.0,0.20811421,0.20903387,0.0
2026,81649,Keirra Thompson,Boise St.,MWC,Fr,Scoring PG,A4,Combo Guard,A4,Combo Guard,0.50137387,A6,Low-Production Player,0.30871736,A7,Efficient Off-Ball Finisher,0.13454049,0.0,0.0,0.0,0.0,0.50137387,0.05536828,0.30871736,0.13454049
2026,81655,Kenna Garza,Boise St.,MWC,Fr,Stretch 4,A2,Two-Way Star Big,A2,Two-Way Star Big,0.33312200,A3,Three-Point Specialist,0.27053553,A0,Traditional Big,0.24106236,0.24106236,0.04824922,0.333122,0.27053553,0.0,0.0,0.0,0.10703089
2026,79095,Libby Hutton,Boise St.,MWC,So,Wing G,A2,Two-Way Star Big,A2,Two-Way Star Big,0.31259560,A0,Traditional Big,0.21990366,A4,Combo Guard,0.17229427,0.21990366,0.12446646,0.3125956,0.0,0.17229427,0.03910434,0.0,0.13163567
2026,81642,Mason Borcherding,Boise St.,MWC,Fr,PF/C,A0,Traditional Big,A0,Traditional Big,0.49496974,A1,Midrange-Heavy Role Player,0.26973036,A2,Two-Way Star Big,0.12963152,0.49496974,0.26973036,0.12963152,0.02113797,0.02444974,0.01054057,0.0495401,0.0
2026,81653,Morgan Maldonado,Boise St.,MWC,Fr,Combo G,A4,Combo Guard,A4,Combo Guard,0.35267217,A6,Low-Production Player,0.29945914,A5,Two-Way Star Guard,0.18416906,0.01199191,0.13371562,0.0028814,0.0,0.35267217,0.18416906,0.29945914,0.0151107
2026,70400,Mya Hansen,Boise St.,MWC,Sr,Pure PG,A4,Combo Guard,A4,Combo Guard,0.69573630,A7,Efficient Off-Ball Finisher,0.18248403,A3,Three-Point Specialist,0.04780944,0.0,0.0,0.0,0.04780944,0.6957363,0.04209302,0.03187721,0.18248403
2026,71354,Natalie Pasco,Boise St.,MWC,Sr,Wing G,A7,Efficient Off-Ball Finisher,A7,Efficient Off-Ball Finisher,0.44290286,A3,Three-Point Specialist,0.27006353,A4,Combo Guard,0.13608131,0.0,0.04780573,0.06018245,0.27006353,0.13608131,0.04296412,0.0,0.44290286
2026,71788,Tatum Thompson,Boise St.,MWC,Sr,Wing G,A7,Efficient Off-Ball Finisher,A7,Efficient Off-Ball Finisher,0.26804082,A2,Two-Way Star Big,0.24050881,A1,Midrange-Heavy Role Player,0.22025499,0.0,0.22025499,0.24050881,0.0,0.11193382,0.15926156,0.0,0.26804082
2026,80420,Amirah Anderson,Boston College,ACC,Fr,Wing G,A3,Three-Point Specialist,A3,Three-Point Specialist,0.38801045,A2,Two-Way Star Big,0.19223555,A1,Midrange-Heavy Role Player,0.16629711,0.02839394,0.16629711,0.19223555,0.38801045,0.04845849,0.04331462,0.00437245,0.12891739
2026,78317,Athena Tomlinson,Boston College,ACC,So,Pure PG,A4,Combo Guard,A4,Combo Guard,0.72634196,A6,Low-Production Player,0.18742786,A5,Two-Way Star Guard,0.08413515,0.0,0.00209503,0.0,0.0,0.72634196,0.08413515,0.18742786,0.0
2026,71763,Ava McGee,Boston College,ACC,Sr,Wing G,A1,Midrange-Heavy Role Player,A1,Midrange-Heavy Role Player,0.45522504,A0,Traditional Big,0.24688344,A5,Two-Way Star Guard,0.22368519,0.24688344,0.45522504,0.0,0.03876788,0.0,0.22368519,0.03543845,0.0
2026,71517,Erin Houpt,Boston College,ACC,Sr,Combo G,A7,Efficient Off-Ball Finisher,A7,Efficient Off-Ball Finisher,0.41391399,A3,Three-Point Specialist,0.38575801,A0,Traditional Big,0.10512317,0.10512317,0.0,0.0,0.38575801,0.09520483,0.0,0.0,0.41391399
2026,80423,Jocelyne Grier,Boston College,ACC,Fr,Wing G,A3,Three-Point Specialist,A3,Three-Point Specialist,0.53155685,A4,Combo Guard,0.17323969,A1,Midrange-Heavy Role Player,0.14088052,0.0,0.14088052,0.02358183,0.53155685,0.17323969,0.12851777,0.00222335,0.0
2026,72044,Kaia Henderson,Boston College,ACC,Sr,Pure PG,A4,Combo Guard,A4,Combo Guard,0.83151137,A6,Low-Production Player,0.09006666,A7,Efficient Off-Ball Finisher,0.07842197,0.0,0.0,0.0,0.0,0.83151137,0.0,0.09006666,0.07842197
2026,67946,Kayla Rolph,Boston College,ACC,Sr,Wing G,A7,Efficient Off-Ball Finisher,A7,Efficient Off-Ball Finisher,0.33129700,A3,Three-Point Specialist,0.18987144,A6,Low-Production Player,0.17702709,0.0,0.13479152,0.16701295,0.18987144,0.0,0.0,0.17702709,0.331297
2026,67978,Kiera Edmonds,Boston College,ACC,So,PF/C,A0,Traditional Big,A0,Traditional Big,0.84612878,A1,Midrange-Heavy Role Player,0.13068884,A6,Low-Production Player,0.02318238,0.84612878,0.13068884,0.0,0.0,0.0,0.0,0.02318238,0.0
2026,78628,Lily Carmody,Boston College,ACC,So,Combo G,A0,Traditional Big,A0,Traditional Big,0.30859333,A4,Combo Guard,0.25990545,A7,Efficient Off-Ball Finisher,0.15831684,0.30859333,0.0,0.0,0.12089983,0.25990545,0.15228455,0.0,0.15831684
2026,77086,Teionni McDaniel,Boston College,ACC,Sr,Combo G,A4,Combo Guard,A4,Combo Guard,0.34288572,A5,Two-Way Star Guard,0.20208539,A3,Three-Point Specialist,0.17283272,0.06870644,0.0,0.05752298,0.17283272,0.34288572,0.20208539,0.15596675,0.0
2026,78651,Allison Schwertner,Boston University,Pat,So,Wing G,A2,Two-Way Star Big,A2,Two-Way Star Big,0.30596350,A6,Low-Production Player,0.29598656,A0,Traditional Big,0.23164387,0.23164387,0.02273835,0.3059635,0.0,0.0,0.0,0.29598656,0.14366772
2026,67443,Anastasiia Semenova,Boston University,Pat,Sr,Wing G,A7,Efficient Off-Ball Finisher,A7,Efficient Off-Ball Finisher,0.31294278,A2,Two-Way Star Big,0.28635283,A3,Three-Point Specialist,0.17827787,0.10424871,0.11817782,0.28635283,0.17827787,0.0,0.0,0.0,0.31294278
2026,71064,Anete Adler,Boston University,Pat,Sr,PF/C,A2,Two-Way Star Big,A2,Two-Way Star Big,0.49502324,A1,Midrange-Heavy Role Player,0.23869356,A4,Combo Guard,0.19092497,0.07535824,0.23869356,0.49502324,0.0,0.19092497,0.0,0.0,0.0
