season,player_id,name,team,conf,yr,role,dominant_archetype_code,dominant_archetype,top_1_code,top_1_archetype,top_1_pct,top_2_code,top_2_archetype,top_2_pct,top_3_code,top_3_archetype,top_3_pct,A0,A1,A2,A3,A4,A5,A6,A7
2023,70005,McKelle Meek,Portland,WCC,Jr,Scoring PG,A7,Efficient Off-Ball Finisher,A7,Efficient Off-Ball Finisher,0.5050287,A4,Combo Guard,0.42353418,A5,Two-Way Star Guard,0.07143712,0.0,0.0,0.0,0.0,0.42353418,0.07143712,0.0,0.5050287
2023,68574,Melika Samia,Portland,WCC,Fr,Wing G,A4,Combo Guard,A4,Combo Guard,0.51618256,A3,Three-Point Specialist,0.28534756,A0,Traditional Big,0.15144855,0.15144855,0.0,0.0,0.28534756,0.51618256,0.0,0.0,0.04702133
2023,68795,Alani Encinas,Portland St.,BSky,Fr,Pure PG,A3,Three-Point Specialist,A3,Three-Point Specialist,0.58828373,A6,Low-Production Player,0.32640273,A4,Combo Guard,0.06956577,0.0,0.0,0.0,0.58828373,0.06956577,0.0,0.32640273,0.01574777
2023,71734,Alaya Fitzgerald,Portland St.,BSky,So,Combo G,A4,Combo Guard,A4,Combo Guard,0.39820276,A3,Three-Point Specialist,0.3292903,A7,Efficient Off-Ball Finisher,0.12593683,0.07817933,0.03425641,0.0,0.3292903,0.39820276,0.03413438,0.0,0.12593683
2023,70031,Brooklyn Strandy,Portland St.,BSky,Fr,PF/C,A6,Low-Production Player,A6,Low-Production Player,1.0,A0,Traditional Big,0.0,A1,Midrange-Heavy Role Player,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2023,70620,Cinco McCartney,Portland St.,BSky,Sr,Wing G,A4,Combo Guard,A4,Combo Guard,0.26992857,A7,Efficient Off-Ball Finisher,0.25689442,A1,Midrange-Heavy Role Player,0.15876318,0.0,0.15876318,0.13131068,0.01497964,0.26992857,0.02736087,0.14076263,0.25689442
2023,69518,Esmeralda Morales,Portland St.,BSky,So,Scoring PG,A4,Combo Guard,A4,Combo Guard,0.4374625,A3,Three-Point Specialist,0.26948258,A5,Two-Way Star Guard,0.19326059,0.0,0.0,0.0,0.26948258,0.4374625,0.19326059,0.0,0.09979434
2023,71761,Jada Lewis,Portland St.,BSky,Sr,Wing G,A3,Three-Point Specialist,A3,Three-Point Specialist,0.47612036,A4,Combo Guard,0.20391198,A7,Efficient Off-Ball Finisher,0.15248557,0.0,0.00486663,0.0298016,0.47612036,0.20391198,0.13281386,0.0,0.15248557
2023,74567,Kiana Yesiki,Portland St.,BSky,Fr,Wing G,A6,Low-Production Player,A6,Low-Production Player,0.50321403,A4,Combo Guard,0.36720479,A2,Two-Way Star Big,0.12958119,0.0,0.0,0.12958119,0.0,0.36720479,0.0,0.50321403,0.0
2023,75294,Marina Canzobre,Portland St.,BSky,Sr,PF/C,A6,Low-Production Player,A6,Low-Production Player,0.50580781,A1,Midrange-Heavy Role Player,0.49419219,A0,Traditional Big,0.0,0.0,0.49419219,0.0,0.0,0.0,0.0,0.50580781,0.0
2023,68088,Mia 'Uhila,Portland St.,BSky,So,Combo G,A5,Two-Way Star Guard,A5,Two-Way Star Guard,0.36997947,A4,Combo Guard,0.30957827,A6,Low-Production Player,0.22682972,0.08996001,0.0,0.0,0.0,0.30957827,0.36997947,0.22682972,0.00365253
2023,74317,Nakia Boston,Portland St.,BSky,So,Wing G,A7,Efficient Off-Ball Finisher,A7,Efficient Off-Ball Finisher,0.26166735,A4,Combo Guard,0.24219476,A5,Two-Way Star Guard,0.20935356,0.0,0.0,0.18957846,0.0,0.24219476,0.20935356,0.09720587,0.26166735
